user_id,age,gender,hobby,budget,travel_style,destination_city,destination_country,activities,climate,rating
87,34,Male,Photography,Medium,Business,Kyoto,Japan,"Temples, Street Photography",Temperate,4.4
88,46,Male,Beaches,Low,Solo,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,3.3
89,23,Male,Photography,High,Couple,Santorini,Greece,"Sunsets, Scenic Views",Warm,4.2
90,30,Male,Foodie,Low,Couple,Bangkok,Thailand,"Street Food, Markets",Tropical,3.8
91,20,Male,Hiking,Medium,Family,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,3.9
92,40,Male,Photography,High,Group,Paris,France,"Landmarks, Museums",Mild,4.6
93,43,Female,Photography,Low,Solo,Paris,France,"Landmarks, Museums",Mild,3.7
94,58,Male,History,Medium,Family,Rome,Italy,"Ancient Ruins, Museums",Mediterranean,3.8
95,43,Female,Photography,Medium,Couple,Istanbul,Turkey,"Architecture, Markets",Temperate,3.5
96,50,Male,Photography,Low,Couple,Kyoto,Japan,"Temples, Street Photography",Temperate,2.8
97,24,Male,Photography,Low,Group,Santorini,Greece,"Sunsets, Scenic Views",Warm,3.7
98,45,Female,Beaches,Low,Couple,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,4.3
99,30,Male,Beaches,Low,Couple,Bali,Indonesia,"Surfing, Relaxing",Tropical,4.8
100,18,Non-binary,Foodie,Medium,Solo,Osaka,Japan,"Street Food, Nightlife",Temperate,4.5
101,30,Male,Photography,Low,Couple,Kyoto,Japan,"Temples, Street Photography",Temperate,3.7
102,18,Non-binary,Hiking,Low,Couple,Patagonia,Argentina,"Trekking, Glaciers",Cold,4.3
103,37,Male,Wildlife,Low,Family,Borneo,Malaysia,"Rainforest Tours, Wildlife Watching",Rainforest,4.1
104,55,Male,Wildlife,Medium,Solo,Borneo,Malaysia,"Rainforest Tours, Wildlife Watching",Rainforest,4.8
105,37,Male,Hiking,Low,Family,Patagonia,Argentina,"Trekking, Glaciers",Cold,2.6
106,23,Female,Hiking,Medium,Solo,Banff,Canada,"Lake Trails, Snow Hiking",Cold,4.1
107,28,Female,Hiking,Medium,Family,Banff,Canada,"Lake Trails, Snow Hiking",Cold,4.4
108,18,Non-binary,Beaches,High,Business,Maldives,Maldives,"Luxury Resorts, Scuba Diving",Tropical,3.5
109,36,Male,Photography,Low,Family,Kyoto,Japan,"Temples, Street Photography",Temperate,4
110,33,Female,Beaches,Low,Solo,Phuket,Thailand,"Island Hopping, Beaches",Tropical,4.1
111,40,Female,Hiking,Medium,Group,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,4.5
112,32,Male,History,Medium,Couple,Beijing,China,"Great Wall, Palaces",Temperate,4.7
113,19,Female,Music Festivals,Medium,Couple,Austin,USA,"Live Music, Festivals",Warm,4
114,26,Non-binary,Wildlife,Medium,Couple,Nairobi,Kenya,"Safari, Nature Parks",Savannah,4.1
115,40,Female,Photography,High,Family,Istanbul,Turkey,"Architecture, Markets",Temperate,4.6
116,24,Female,Hiking,Low,Family,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,3.6
117,31,Female,Art,Low,Group,New York,USA,"Museums, Street Art",Varied,4.4
118,47,Male,Photography,Low,Family,Paris,France,"Landmarks, Museums",Mild,3.8
119,48,Female,Music Festivals,Low,Couple,Barcelona,Spain,"Beach Parties, Music Events",Mediterranean,4.5
120,36,Male,Hiking,Medium,Group,Nepal,Nepal,"Himalayan Trekking, Nature Exploration",Mountainous,4.4
121,36,Female,Hiking,Low,Group,Banff,Canada,"Lake Trails, Snow Hiking",Cold,5
122,52,Non-binary,Wildlife,Medium,Solo,Nairobi,Kenya,"Safari, Nature Parks",Savannah,4.3
123,21,Female,Beaches,High,Group,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,4.9
124,60,Male,Beaches,Low,Couple,Bali,Indonesia,"Surfing, Relaxing",Tropical,4.3
125,43,Non-binary,Art,Medium,Couple,Florence,Italy,"Art Galleries, Architecture",Mediterranean,2.8
126,19,Female,Music Festivals,Low,Solo,Austin,USA,"Live Music, Festivals",Warm,3.9
127,43,Male,Beaches,Medium,Family,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,3.9
128,24,Non-binary,Photography,Low,Couple,Santorini,Greece,"Sunsets, Scenic Views",Warm,4.3
129,35,Female,Photography,Low,Family,Istanbul,Turkey,"Architecture, Markets",Temperate,4.1
130,33,Male,Hiking,Low,Couple,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,4.1
131,48,Male,Beaches,Medium,Family,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,2.7
132,37,Non-binary,Hiking,Medium,Couple,Patagonia,Argentina,"Trekking, Glaciers",Cold,3.9
133,31,Male,Foodie,Medium,Family,Osaka,Japan,"Street Food, Nightlife",Temperate,4
134,27,Female,Photography,Low,Solo,Santorini,Greece,"Sunsets, Scenic Views",Warm,3.6
135,40,Male,Art,Low,Solo,New York,USA,"Museums, Street Art",Varied,3.5
136,37,Male,Music Festivals,Medium,Solo,Barcelona,Spain,"Beach Parties, Music Events",Mediterranean,4.1
137,18,Female,Hiking,High,Couple,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,4.9
138,48,Male,Hiking,Medium,Couple,Nepal,Nepal,"Himalayan Trekking, Nature Exploration",Mountainous,3.1
139,18,Non-binary,Beaches,Medium,Solo,Phuket,Thailand,"Island Hopping, Beaches",Tropical,3.7
140,44,Female,Art,Medium,Solo,Vienna,Austria,"Classical Art, Museums",Continental,4
141,56,Male,Hiking,Low,Group,Banff,Canada,"Lake Trails, Snow Hiking",Cold,4.3
142,22,Male,Wildlife,Low,Group,Kruger,South Africa,"Big 5 Safari, Game Drives",Savannah,4.1
143,18,Female,Photography,Medium,Group,Santorini,Greece,"Sunsets, Scenic Views",Warm,4.3
144,51,Female,Hiking,Low,Group,Nepal,Nepal,"Himalayan Trekking, Nature Exploration",Mountainous,4.8
145,38,Male,History,Low,Family,Beijing,China,"Great Wall, Palaces",Temperate,2.8
146,20,Male,Photography,Low,Couple,Istanbul,Turkey,"Architecture, Markets",Temperate,4.3
147,40,Female,Music Festivals,Medium,Group,Reykjavik,Iceland,"Indie Music, Cultural Festivals",Cold,3.1
148,41,Male,Music Festivals,Medium,Family,Berlin,Germany,"Electronic Music, Nightlife",Temperate,3.2
149,31,Male,Hiking,Medium,Couple,Patagonia,Argentina,"Trekking, Glaciers",Cold,4.1
150,19,Female,Foodie,Medium,Family,Osaka,Japan,"Street Food, Nightlife",Temperate,3.8
151,18,Male,Hiking,High,Solo,Banff,Canada,"Lake Trails, Snow Hiking",Cold,4.6
152,21,Female,Wildlife,High,Family,Galápagos,Ecuador,"Marine Wildlife, Nature Exploration",Tropical,3.9
153,47,Female,Art,Low,Couple,New York,USA,"Museums, Street Art",Varied,4.5
154,43,Male,Hiking,Medium,Couple,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,4.1
155,46,Female,Wildlife,Medium,Group,Borneo,Malaysia,"Rainforest Tours, Wildlife Watching",Rainforest,4
156,20,Male,Photography,Low,Family,Kyoto,Japan,"Temples, Street Photography",Temperate,4.3
157,32,Male,Hiking,Medium,Family,Banff,Canada,"Lake Trails, Snow Hiking",Cold,4.1
158,43,Female,Hiking,Low,Solo,Patagonia,Argentina,"Trekking, Glaciers",Cold,4.1
159,42,Female,Art,High,Couple,Florence,Italy,"Art Galleries, Architecture",Mediterranean,4
160,29,Female,Art,High,Business,Amsterdam,Netherlands,"Van Gogh Museum, Art Districts",Mild,2.8
161,18,Female,Art,Low,Solo,Florence,Italy,"Art Galleries, Architecture",Mediterranean,3.1
162,24,Male,History,Low,Solo,Athens,Greece,"Historical Sites, Cultural Tours",Warm,3.5
163,18,Female,Wildlife,Low,Group,Borneo,Malaysia,"Rainforest Tours, Wildlife Watching",Rainforest,3.4
164,33,Female,Art,High,Couple,Amsterdam,Netherlands,"Van Gogh Museum, Art Districts",Mild,3.6
165,46,Female,Foodie,Low,Solo,Istanbul,Turkey,"Local Cuisine, Bazaar Tours",Temperate,4.8
166,40,Male,Hiking,Low,Business,Banff,Canada,"Lake Trails, Snow Hiking",Cold,3.7
167,31,Female,Art,Medium,Solo,Florence,Italy,"Art Galleries, Architecture",Mediterranean,3.4
168,27,Female,Art,Medium,Family,New York,USA,"Museums, Street Art",Varied,3.6
169,31,Male,Photography,High,Business,Santorini,Greece,"Sunsets, Scenic Views",Warm,4.3
170,40,Female,Art,Low,Couple,Florence,Italy,"Art Galleries, Architecture",Mediterranean,4.5
171,43,Female,History,Low,Solo,Cairo,Egypt,"Pyramids, Museums",Desert,3.5
172,18,Female,Foodie,High,Couple,Lyon,France,"Gourmet Dining, Cafes",Mild,3.6
173,18,Female,Foodie,Medium,Family,Istanbul,Turkey,"Local Cuisine, Bazaar Tours",Temperate,4.2
174,39,Female,Art,Medium,Family,Florence,Italy,"Art Galleries, Architecture",Mediterranean,4.4
175,28,Female,Foodie,High,Solo,Lyon,France,"Gourmet Dining, Cafes",Mild,4.2
176,31,Female,Art,Low,Group,New York,USA,"Museums, Street Art",Varied,3.6
177,32,Male,Art,Medium,Business,New York,USA,"Museums, Street Art",Varied,4
178,42,Female,Foodie,Medium,Solo,Osaka,Japan,"Street Food, Nightlife",Temperate,3.3
179,40,Male,Art,Medium,Group,Florence,Italy,"Art Galleries, Architecture",Mediterranean,4
180,36,Male,Photography,Medium,Family,Istanbul,Turkey,"Architecture, Markets",Temperate,4.2
181,18,Female,Photography,Low,Group,Santorini,Greece,"Sunsets, Scenic Views",Warm,4.5
182,38,Male,Wildlife,Low,Couple,Nairobi,Kenya,"Safari, Nature Parks",Savannah,3.7
183,42,Male,Beaches,Low,Business,Phuket,Thailand,"Island Hopping, Beaches",Tropical,4.5
184,22,Female,History,Medium,Solo,Cairo,Egypt,"Pyramids, Museums",Desert,3.9
185,46,Male,Photography,High,Solo,Paris,France,"Landmarks, Museums",Mild,4.7
186,33,Female,History,Medium,Couple,Cairo,Egypt,"Pyramids, Museums",Desert,4.3
187,43,Male,Wildlife,Low,Solo,Galápagos,Ecuador,"Marine Wildlife, Nature Exploration",Tropical,3.9
188,44,Female,Foodie,High,Solo,Lyon,France,"Gourmet Dining, Cafes",Mild,3.8
189,42,Female,Art,Medium,Family,Vienna,Austria,"Classical Art, Museums",Continental,4.4
190,47,Female,Photography,Low,Solo,Santorini,Greece,"Sunsets, Scenic Views",Warm,4.2
191,21,Female,Foodie,Low,Family,Istanbul,Turkey,"Local Cuisine, Bazaar Tours",Temperate,3.8
192,28,Female,Hiking,Low,Solo,Patagonia,Argentina,"Trekking, Glaciers",Cold,4.5
193,59,Male,History,Medium,Group,Cairo,Egypt,"Pyramids, Museums",Desert,3.8
194,34,Male,Art,Low,Business,New York,USA,"Museums, Street Art",Varied,3.7
195,59,Female,Photography,Medium,Solo,Paris,France,"Landmarks, Museums",Mild,4
196,26,Male,Hiking,Low,Solo,Banff,Canada,"Lake Trails, Snow Hiking",Cold,4
197,36,Female,History,High,Solo,Beijing,China,"Great Wall, Palaces",Temperate,3.5
198,37,Female,Hiking,Low,Group,Nepal,Nepal,"Himalayan Trekking, Nature Exploration",Mountainous,3.6
199,53,Female,Photography,Medium,Group,Istanbul,Turkey,"Architecture, Markets",Temperate,4.2
200,36,Female,Hiking,Medium,Family,Banff,Canada,"Lake Trails, Snow Hiking",Cold,4.5
201,31,Male,Beaches,Low,Solo,Phuket,Thailand,"Island Hopping, Beaches",Tropical,4.1
202,24,Female,Art,Medium,Couple,New York,USA,"Museums, Street Art",Varied,3.7
203,25,Non-binary,Beaches,High,Family,Phuket,Thailand,"Island Hopping, Beaches",Tropical,4.4
204,29,Male,Hiking,Low,Couple,Nepal,Nepal,"Himalayan Trekking, Nature Exploration",Mountainous,4.1
205,44,Male,Art,Medium,Couple,Vienna,Austria,"Classical Art, Museums",Continental,4.4
206,19,Female,Wildlife,Medium,Group,Galápagos,Ecuador,"Marine Wildlife, Nature Exploration",Tropical,5
207,18,Female,Wildlife,High,Solo,Kruger,South Africa,"Big 5 Safari, Game Drives",Savannah,3.7
208,48,Male,Foodie,Medium,Group,Osaka,Japan,"Street Food, Nightlife",Temperate,4.4
209,38,Female,Hiking,Low,Group,Banff,Canada,"Lake Trails, Snow Hiking",Cold,3.9
210,18,Female,History,Low,Couple,Beijing,China,"Great Wall, Palaces",Temperate,4.1
211,43,Male,Wildlife,Medium,Solo,Galápagos,Ecuador,"Marine Wildlife, Nature Exploration",Tropical,3.4
212,19,Male,Wildlife,Low,Couple,Galápagos,Ecuador,"Marine Wildlife, Nature Exploration",Tropical,3.9
213,32,Male,Hiking,Medium,Family,Banff,Canada,"Lake Trails, Snow Hiking",Cold,4.6
214,43,Female,Hiking,High,Group,Patagonia,Argentina,"Trekking, Glaciers",Cold,4.6
215,31,Male,Beaches,Low,Solo,Bali,Indonesia,"Surfing, Relaxing",Tropical,4.2
216,33,Non-binary,Beaches,Medium,Couple,Maldives,Maldives,"Luxury Resorts, Scuba Diving",Tropical,3.5
217,36,Female,Photography,Medium,Couple,Kyoto,Japan,"Temples, Street Photography",Temperate,4.2
218,26,Male,Beaches,Medium,Family,Cancun,Mexico,"Beach Parties, Snorkeling",Tropical,4.2
219,37,Male,Hiking,High,Solo,Patagonia,Argentina,"Trekking, Glaciers",Cold,3.7
220,34,Female,Foodie,High,Family,Osaka,Japan,"Street Food, Nightlife",Temperate,5
221,36,Female,Photography,Low,Family,Istanbul,Turkey,"Architecture, Markets",Temperate,4.2
222,27,Female,History,High,Solo,Beijing,China,"Great Wall, Palaces",Temperate,4.1
223,45,Female,Wildlife,Medium,Family,Galápagos,Ecuador,"Marine Wildlife, Nature Exploration",Tropical,3.9
224,18,Female,Art,High,Family,New York,USA,"Museums, Street Art",Varied,3.5
225,47,Male,Art,Medium,Solo,New York,USA,"Museums, Street Art",Varied,3.9
226,22,Female,Hiking,Medium,Couple,Nepal,Nepal,"Himalayan Trekking, Nature Exploration",Mountainous,3.2
227,22,Male,Hiking,Medium,Family,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,3.7
228,18,Female,Foodie,Medium,Couple,Lyon,France,"Gourmet Dining, Cafes",Mild,3.7
229,23,Male,Photography,Medium,Couple,Kyoto,Japan,"Temples, Street Photography",Temperate,3.2
230,41,Female,Foodie,High,Solo,Istanbul,Turkey,"Local Cuisine, Bazaar Tours",Temperate,4.3
231,32,Non-binary,Hiking,Low,Group,Patagonia,Argentina,"Trekking, Glaciers",Cold,4.2
232,34,Male,History,Low,Couple,Rome,Italy,"Ancient Ruins, Museums",Mediterranean,3.5
233,18,Female,Art,Medium,Couple,Amsterdam,Netherlands,"Van Gogh Museum, Art Districts",Mild,4.2
234,33,Female,History,Low,Couple,Beijing,China,"Great Wall, Palaces",Temperate,3.9
235,36,Male,Music Festivals,High,Couple,Austin,USA,"Live Music, Festivals",Warm,3.5
236,29,Female,Art,High,Family,Vienna,Austria,"Classical Art, Museums",Continental,4
237,32,Male,Art,Medium,Couple,New York,USA,"Museums, Street Art",Varied,4.2
238,32,Male,Art,Medium,Couple,Vienna,Austria,"Classical Art, Museums",Continental,4.4
239,53,Male,Art,Medium,Couple,New York,USA,"Museums, Street Art",Varied,3.6
240,40,Female,Beaches,Low,Solo,Phuket,Thailand,"Island Hopping, Beaches",Tropical,3.6
241,47,Female,Photography,Low,Couple,Istanbul,Turkey,"Architecture, Markets",Temperate,4.8
242,38,Male,Beaches,Medium,Couple,Maldives,Maldives,"Luxury Resorts, Scuba Diving",Tropical,4
243,44,Non-binary,History,Low,Solo,Rome,Italy,"Ancient Ruins, Museums",Mediterranean,4.6
244,18,Male,Music Festivals,Low,Group,Berlin,Germany,"Electronic Music, Nightlife",Temperate,4.3
245,23,Male,Hiking,Low,Couple,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,3.6
246,28,Female,Photography,High,Family,Istanbul,Turkey,"Architecture, Markets",Temperate,4.4
247,23,Female,Beaches,High,Family,Maldives,Maldives,"Luxury Resorts, Scuba Diving",Tropical,3.4
248,32,Male,Beaches,Medium,Business,Maldives,Maldives,"Luxury Resorts, Scuba Diving",Tropical,4.9
249,25,Female,Hiking,Low,Couple,Nepal,Nepal,"Himalayan Trekking, Nature Exploration",Mountainous,4.3
250,48,Female,Art,High,Solo,Vienna,Austria,"Classical Art, Museums",Continental,3.4
251,35,Female,History,Medium,Family,Cairo,Egypt,"Pyramids, Museums",Desert,4.4
252,29,Female,Photography,Medium,Family,Kyoto,Japan,"Temples, Street Photography",Temperate,4.2
253,24,Male,Photography,Low,Group,Paris,France,"Landmarks, Museums",Mild,3.6
254,26,Male,Beaches,Medium,Couple,Maldives,Maldives,"Luxury Resorts, Scuba Diving",Tropical,3.2
255,37,Female,Wildlife,Low,Group,Kruger,South Africa,"Big 5 Safari, Game Drives",Savannah,4
256,30,Female,Photography,High,Group,Paris,France,"Landmarks, Museums",Mild,4.6
257,29,Male,Art,Low,Family,Amsterdam,Netherlands,"Van Gogh Museum, Art Districts",Mild,3.9
258,35,Female,Hiking,Low,Group,Patagonia,Argentina,"Trekking, Glaciers",Cold,4.1
259,59,Female,Wildlife,Low,Couple,Borneo,Malaysia,"Rainforest Tours, Wildlife Watching",Rainforest,3.8
260,31,Male,History,Low,Solo,Rome,Italy,"Ancient Ruins, Museums",Mediterranean,3.5
261,40,Male,Wildlife,Medium,Couple,Galápagos,Ecuador,"Marine Wildlife, Nature Exploration",Tropical,4
262,37,Male,History,Medium,Family,Rome,Italy,"Ancient Ruins, Museums",Mediterranean,3.6
263,28,Non-binary,Hiking,Low,Family,Zermatt,Switzerland,"Mountain Climbing, Skiing",Alpine,4
264,29,Male,Wildlife,Medium,Solo,Borneo,Malaysia,"Rainforest Tours, Wildlife Watching",Rainforest,3.8
265,35,Non-binary,Foodie,High,Family,Istanbul,Turkey,"Local Cuisine, Bazaar Tours",Temperate,3.6
266,39,Male,Hiking,Low,Group,Nepal,Nepal,"Himalayan Trekking, Nature Exploration",Mountainous,5
267,29,Male,History,High,Family,Rome,Italy,"Ancient Ruins, Museums",Mediterranean,3.4
268,34,Female,Art,Low,Couple,New York,USA,"Museums, Street Art",Varied,3.9
269,36,Male,Art,Low,Solo,Florence,Italy,"Art Galleries, Architecture",Mediterranean,3.4
270,25,Female,Wildlife,Medium,Group,Galápagos,Ecuador,"Marine Wildlife, Nature Exploration",Tropical,4
271,23,Male,Photography,Medium,Couple,Santorini,Greece,"Sunsets, Scenic Views",Warm,4
272,26,Female,History,High,Business,Beijing,China,"Great Wall, Palaces",Temperate,2.9
273,46,Male,Art,Low,Group,Amsterdam,Netherlands,"Van Gogh Museum, Art Districts",Mild,3.4
274,34,Female,Photography,Medium,Group,Paris,France,"Landmarks, Museums",Mild,4.5
275,28,Female,Foodie,Low,Family,Bangkok,Thailand,"Street Food, Markets",Tropical,4.1
276,32,Male,Beaches,Medium,Solo,Bali,Indonesia,"Surfing, Relaxing",Tropical,4
277,26,Male,Photography,Medium,Family,Istanbul,Turkey,"Architecture, Markets",Temperate,4.6
278,30,Male,Foodie,Medium,Family,Lyon,France,"Gourmet Dining, Cafes",Mild,3.8
